midsection_area1,midsection_area2,mesh_file
132.57874164250578,149.8889080901883,Ac_DA_1_8.obj
143.2663334015558,146.2158702550045,Ac_DA_2_6a.obj
141.14561511858483,154.68130953439504,Ac_DA_2_6b.obj
110.07825821851341,132.63180536686326,Ac_DA_2_3.obj
104.4614079694904,105.10136251991048,Ac_DA_2_1.obj
148.29526463618026,141.21001072638606,Ac_DA_2_4.obj
111.13062120936084,106.1357539432425,Ac_DA_2_7.obj
129.27091242655982,126.25147589314273,Ac_DA_3_1.obj
133.36738365685974,126.65230396043242,Ac_DA_1_3.obj
123.40573150567293,139.22664695922882,Ac_DA_1_2.obj
174.2948327739316,165.815133640832,Ac_DA_3_2.obj
176.50113593597564,158.93224982567276,Ac_DA_3_3.obj
186.14272023472174,170.89025559240145,Ac_DA_3_7.obj
170.65993408335845,162.97780647660852,Ac_DA_1_5.obj
135.66597066096398,131.32743641799965,Ac_DA_1_4.obj
183.30846737739557,181.54240218322587,Ac_DA_3_6.obj
178.29416603663825,171.11235894935106,Ac_DA_3_4.obj
146.8709619685115,139.9238303050655,Ac_DA_1_6.obj
